articulo,recomendacion
set,-157.50806112563882
bolígrafo,-146.53569188401787
porta,-122.55407076248245
antiestrés,-112.39367300351144
vaso,-110.81250696373993
celular,-109.22138223330015
libreta,-108.80399817969521
tarjeta,-108.29805463167447
cable,-102.37166019400642
termo,-101.39899305574643
lonchera,-100.91567954134867
power_bank,-95.81114397530963
taza,-95.6874385376572
botella,-95.0984870778208
antibacterial,-91.88993139748658
herramienta,-91.73616216619071
gorra,-89.24468163376905
cilindro,-87.94297963216113
llavero,-86.62451881954095
juego,-86.45183955776668
tarro,-85.9657447053852
maleta,-85.00551552137837
cinta,-83.90139882776779
audífonos,-82.95197283173817
hielera,-82.26473421977242
vino,-82.24105279168589
mouse_pad,-81.74371983491078
sujetador,-81.54451957398005
lampara,-80.34342536090539
paraguas,-80.0537640410895
pelota,-78.54340455094933
navaja,-76.25706054752571
identificador,-75.60265770177566
auriculares,-75.17679960058511
dominós,-75.06899294411218
organizador,-74.73116748301342
cuchara,-73.78405814470212
post_it,-73.01182625927734
agenda,-69.75196391930078
usb,-69.42946095887875
mochila,-68.99512874333146
soporte,-68.82628380155589
regla,-68.13961866601285
bocina,-65.88403925734958
iman,-65.55493076941407
crayones,-64.73281211453165
cangurera,-64.16266570424486
carpeta,-63.968600372402626
chaleco,-63.875850491608716
funda,-63.62059354773795
destapadores,-63.52171747913688
inflables,-59.594526606466516
banderines,-58.929331581116166
lapicera_lapiz,-57.955004768816565
reloj,-57.895950568276525
espray,-57.49930145133294
bolsa,-57.495772117529036
alcancías,-57.112813149398505
pluma,-56.854814116086914
aplaudidor,-56.66964211498605
encendedor,-56.38101088670827
joyero,-56.166975482487764
parasol,-56.09719090668806
utensilios,-55.79615266550277
calendario,-55.57081425244831
sudadera,-54.54967358316728
playera,-53.152615838133904
dispensador,-52.333963699522116
humificador,-52.333963699522116
ventilador,-49.91360889132422
impermeable,-49.0020577464678
camisa,-47.942881234749564
difusor,-47.942881234749564
cubiertos,-47.84002230252697
espejo,-47.69244381002046
pastillero,-46.9254528219286
sombrilla,-46.29373195239123
kit,-44.752463507586626
abanico,-44.256126713151296
almohada,-41.966531644448445
cosmetiquera,-41.45450111415312
reconocimiento,-41.07217898844223
adaptadores,-40.377931557901924
frazada,-40.11435446310499
flyer,-38.779379292377186
guantes,-38.597486789164144
chamarra,-38.54131507776173
toalla,-37.42660184564163
bata,-37.40323996943532
pantalón,-37.40323996943531
binoculares,-37.403239969435305
pin,-37.403239969435305
peluche,-37.37861141989028
cubrebocas,-37.25190770126492
mascarilla,0.0
colgador,0.0
popsocket,0.0
careta,0.0
cuaderno,0.0
tapete,0.0
jenga,0.0
pañalera,0.0
termómetro,0.0
